date,open,high,low,close,,,
2/9/2024,498.84,501.65,498.49,501.2,,,
2/12/2024,501.17,503.5,500.24,500.98,,,
2/13/2024,494.53,497.09,490.715,494.08,,,
2/14/2024,496.79,499.07,494.4,498.57,,,
2/15/2024,499.29,502.2,498.795,502.01,,,
2/16/2024,501.7,502.87,498.75,499.51,,,
2/20/2024,497.72,498.41,494.45,496.76,,,
2/21/2024,495.42,497.37,493.56,497.21,,,
2/22/2024,504.01,508.49,503.02,507.5,,,
2/23/2024,509.27,510.13,507.1,507.85,,,
2/26/2024,508.3,508.75,505.86,505.99,,,
2/27/2024,506.7,507.16,504.75,506.93,,,
2/28/2024,505.33,506.855,504.96,506.26,,,
2/29/2024,508.07,509.74,505.35,508.08,,,
3/1/2024,508.98,513.29,508.56,512.85,,,
3/4/2024,512.03,514.2,512,512.3,,,
3/5/2024,510.24,510.7,504.91,507.18,,,
3/6/2024,510.55,512.069,508.42,509.75,,,
3/7/2024,513.14,515.89,509.8053,514.81,,,
3/8/2024,515.46,518.2201,511.13,511.72,,,
3/11/2024,510.48,511.88,508.5,511.28,,,
3/12/2024,513.45,517.38,510.86,516.78,,,
3/13/2024,517.11,517.29,514.49,515.97,,,
3/14/2024,516.97,517.125,511.82,514.95,,,
3/15/2024,510.21,511.7,508.122,509.83,,,
3/18/2024,514,515.48,512.44,512.86,,,
3/19/2024,512.15,515.995,511.12,515.71,,,
3/20/2024,515.77,520.62,515.08,520.48,,,
3/21/2024,523.39,524.11,521.91,522.2,,,
3/22/2024,522.11,522.605,520.97,521.21,,,
3/25/2024,519.8,520.95,519.61,519.77,,,
3/26/2024,521.23,521.58,518.4,518.81,,,
